iter	Logloss
0	0.6556291709
1	0.6169083426
2	0.5917434535
3	0.5655849569
4	0.5408306
5	0.5196331556
6	0.5013195691
7	0.4817304342
8	0.4634481911
9	0.4460655636
10	0.4317259834
11	0.4170158323
12	0.4029882094
13	0.3906060725
14	0.3774812264
15	0.3672890975
16	0.3582335653
17	0.3500978669
18	0.3406433058
19	0.3312078718
20	0.3233601868
21	0.3156775622
22	0.3089384524
23	0.3023654617
24	0.2974000532
25	0.2920904927
26	0.286814481
27	0.2825620824
28	0.2780207472
29	0.2733520881
30	0.2673462508
31	0.2635498565
32	0.2597448926
33	0.2560903792
34	0.2520935339
35	0.2479752165
36	0.244929055
37	0.2421843706
38	0.2390207955
39	0.2363898288
40	0.2339657503
41	0.2307694152
42	0.2283096658
43	0.2260948309
44	0.2241266537
45	0.2222873497
46	0.2197965272
47	0.2180337099
48	0.216430827
49	0.2143211443
50	0.2117973951
51	0.2094112091
52	0.2077377108
53	0.2063117576
54	0.2048181092
55	0.2033211753
56	0.2020414567
57	0.1999871334
58	0.1985382473
59	0.1972505626
60	0.195848554
61	0.1932267762
62	0.1910600353
63	0.1897614959
64	0.1884820836
65	0.1874505895
66	0.1862102633
67	0.1849374457
68	0.1839425871
69	0.1830084359
70	0.1816926177
71	0.1800126544
72	0.1790298268
73	0.1777418187
74	0.1767533734
75	0.1757572742
76	0.1748412604
77	0.1731899993
78	0.1722366184
79	0.1711423279
80	0.1702458094
81	0.1691346559
82	0.1673256771
83	0.1663876683
84	0.1654670394
85	0.1643823139
86	0.1634038946
87	0.1625808799
88	0.1616857284
89	0.1606055752
90	0.1596831998
91	0.1586665046
92	0.1577668649
93	0.156325628
94	0.1553869039
95	0.1540523119
96	0.1530216661
97	0.1520734755
98	0.1510526215
99	0.1498357871
100	0.1490591816
101	0.1485251951
102	0.1477316819
103	0.1471138013
104	0.1462039818
105	0.145651631
106	0.1449546551
107	0.1443900043
108	0.1436527602
109	0.1429061379
110	0.1419584495
111	0.1410999442
112	0.1404237287
113	0.1399116905
114	0.1387619772
115	0.1379544592
116	0.1372395955
117	0.1364353324
118	0.1355605995
119	0.134778901
120	0.1341613834
121	0.1329408598
122	0.1323887689
123	0.1317390682
124	0.1307538283
125	0.1302941139
126	0.1299081059
127	0.1293748931
128	0.1286466702
129	0.1281161929
130	0.1273990657
131	0.1267999718
132	0.1263263034
133	0.1257785107
134	0.125072666
135	0.1245971297
136	0.1241374037
137	0.1235243107
138	0.1228825404
139	0.122411708
140	0.1219853961
141	0.1215404975
142	0.120930658
143	0.1203388117
144	0.1198856654
145	0.1193911612
146	0.1188833296
147	0.1183701112
148	0.1178382172
149	0.1173783976
