iter	Passed	Remaining
0	13	1945
1	25	1893
2	37	1838
3	49	1807
4	61	1791
5	74	1797
6	87	1796
7	100	1792
8	114	1788
9	127	1778
10	139	1768
11	153	1765
12	167	1765
13	180	1757
14	194	1752
15	208	1746
16	222	1741
17	237	1740
18	251	1732
19	265	1724
20	280	1722
21	294	1715
22	310	1711
23	325	1709
24	340	1703
25	356	1698
26	371	1690
27	386	1683
28	401	1673
29	416	1664
30	431	1656
31	447	1648
32	462	1638
33	477	1628
34	492	1618
35	507	1608
36	523	1598
37	539	1589
38	555	1579
39	570	1569
40	586	1559
41	602	1548
42	617	1536
43	633	1526
44	648	1513
45	664	1502
46	681	1492
47	697	1481
48	712	1469
49	728	1457
50	744	1445
51	760	1433
52	775	1420
53	792	1408
54	807	1395
55	823	1381
56	839	1369
57	855	1356
58	871	1344
59	888	1332
60	904	1319
61	920	1306
62	936	1292
63	951	1278
64	968	1265
65	983	1252
66	999	1237
67	1015	1224
68	1031	1210
69	1046	1195
70	1062	1181
71	1076	1166
72	1092	1152
73	1108	1138
74	1123	1123
75	1137	1107
76	1152	1092
77	1167	1077
78	1182	1062
79	1197	1048
80	1212	1033
81	1227	1018
82	1242	1003
83	1257	988
84	1272	973
85	1289	959
86	1304	944
87	1319	929
88	1334	914
89	1348	899
90	1364	884
91	1379	869
92	1393	854
93	1409	839
94	1424	824
95	1439	809
96	1454	794
97	1469	779
98	1484	764
99	1500	750
100	1515	735
101	1530	720
102	1546	705
103	1561	690
104	1576	675
105	1590	660
106	1605	645
107	1620	630
108	1634	614
109	1650	600
110	1665	585
111	1679	569
112	1695	555
113	1711	540
114	1725	525
115	1739	509
116	1755	495
117	1771	480
118	1786	465
119	1801	450
120	1816	435
121	1832	420
122	1847	405
123	1864	390
124	1880	376
125	1895	361
126	1910	346
127	1925	331
128	1940	315
129	1956	300
130	1971	285
131	1987	271
132	2002	255
133	2018	241
134	2033	225
135	2048	210
136	2063	195
137	2078	180
138	2093	165
139	2108	150
140	2123	135
141	2139	120
142	2155	105
143	2170	90
144	2184	75
145	2200	60
146	2216	45
147	2232	30
148	2247	15
149	2263	0
